 name                           | 	 shuffle  | 	 elements     | 	 duration_ms  | 	 p_duration_s | 	 p_duration_ns | 	 memory     
 Stream + parallel + sort       | 	 / 1 (n_const)  | 	 350,000      | 	 99           | 	 0            | 	 98,933,000   | 	 13,903,464 
 merge sort                     | 	 / 1 (n_const)  | 	 360,000      | 	 142          | 	 0            | 	 142,473,000  | 	 2,097,152  
 Arrays.sort                    | 	 / 1 (n_const)  | 	 360,000      | 	 122          | 	 0            | 	 122,160,000  | 	 2,359,312  
 Arrays.parallelSort            | 	 / 1 (n_const)  | 	 360,000      | 	 73           | 	 0            | 	 73,075,000   | 	 2,239,616  
 Linked Hashmap                 | 	 / 1 (n_const)  | 	 360,000      | 	 240          | 	 0            | 	 240,135,000  | 	 24,643,584 
 Stream + parallel + sort       | 	 / 1 (n_const)  | 	 360,000      | 	 114          | 	 0            | 	 113,927,000  | 	 14,031,376 
 merge sort                     | 	 / 1 (n_const)  | 	 370,000      | 	 299          | 	 0            | 	 299,164,000  | 	 -426,248,192 
 Arrays.sort                    | 	 / 1 (n_const)  | 	 370,000      | 	 127          | 	 0            | 	 126,741,000  | 	 2,490,400  
 Arrays.parallelSort            | 	 / 1 (n_const)  | 	 370,000      | 	 73           | 	 0            | 	 73,746,000   | 	 2,246,136  
 Linked Hashmap                 | 	 / 1 (n_const)  | 	 370,000      | 	 203          | 	 0            | 	 202,797,000  | 	 16,252,928 
 Stream + parallel + sort       | 	 / 1 (n_const)  | 	 370,000      | 	 110          | 	 0            | 	 110,174,000  | 	 14,597,912 
 merge sort                     | 	 / 1 (n_const)  | 	 380,000      | 	 153          | 	 0            | 	 153,548,000  | 	 2,097,152  
 Arrays.sort                    | 	 / 1 (n_const)  | 	 380,000      | 	 129          | 	 0            | 	 128,633,000  | 	 2,359,312  
 Arrays.parallelSort            | 	 / 1 (n_const)  | 	 380,000      | 	 75           | 	 0            | 	 75,454,000   | 	 2,220,112  
 Linked Hashmap                 | 	 / 1 (n_const)  | 	 380,000      | 	 199          | 	 0            | 	 199,212,000  | 	 23,592,960 
 Stream + parallel + sort       | 	 / 1 (n_const)  | 	 380,000      | 	 106          | 	 0            | 	 105,767,000  | 	 14,629,152 
 merge sort                     | 	 / 1 (n_const)  | 	 390,000      | 	 156          | 	 0            | 	 155,936,000  | 	 2,097,152  
 Arrays.sort                    | 	 / 1 (n_const)  | 	 390,000      | 	 139          | 	 0            | 	 138,829,000  | 	 2,608,344  
 Arrays.parallelSort            | 	 / 1 (n_const)  | 	 390,000      | 	 78           | 	 0            | 	 77,610,000   | 	 2,252,720  
 Linked Hashmap                 | 	 / 1 (n_const)  | 	 390,000      | 	 83           | 	 0            | 	 83,531,000   | 	 35,125,248 
 Stream + parallel + sort       | 	 / 1 (n_const)  | 	 390,000      | 	 117          | 	 0            | 	 117,298,000  | 	 16,699,440 
 merge sort                     | 	 / 1 (n_const)  | 	 400,000      | 	 159          | 	 0            | 	 158,972,000  | 	 2,097,152  
 Arrays.sort                    | 	 / 1 (n_const)  | 	 400,000      | 	 142          | 	 0            | 	 142,191,000  | 	 2,490,400  
 Arrays.parallelSort            | 	 / 1 (n_const)  | 	 400,000      | 	 80           | 	 0            | 	 79,878,000   | 	 2,105,264  
 Linked Hashmap                 | 	 / 1 (n_const)  | 	 400,000      | 	 128          | 	 0            | 	 128,239,000  | 	 40,894,464 
 Stream + parallel + sort       | 	 / 1 (n_const)  | 	 400,000      | 	 118          | 	 0            | 	 118,353,000  | 	 17,331,064 
 merge sort                     | 	 / 1 (n_const)  | 	 410,000      | 	 163          | 	 0            | 	 163,411,000  | 	 2,097,152  
 Arrays.sort                    | 	 / 1 (n_const)  | 	 410,000      | 	 144          | 	 0            | 	 143,994,000  | 	 2,359,312  
 Arrays.parallelSort            | 	 / 1 (n_const)  | 	 410,000      | 	 83           | 	 0            | 	 83,782,000   | 	 2,244,008  
 Linked Hashmap                 | 	 / 1 (n_const)  | 	 410,000      | 	 247          | 	 0            | 	 247,539,000  | 	 36,173,824 
 Stream + parallel + sort       | 	 / 1 (n_const)  | 	 410,000      | 	 116          | 	 0            | 	 116,379,000  | 	 15,543,232 
 merge sort                     | 	 / 1 (n_const)  | 	 420,000      | 	 170          | 	 0            | 	 169,863,000  | 	 2,097,152  
 Arrays.sort                    | 	 / 1 (n_const)  | 	 420,000      | 	 148          | 	 0            | 	 147,335,000  | 	 2,555,952  
